REFERENCE_PERIOD,NAICS,STATUS,CALCULATED_VALUE
2014-06-01,Non-durable goods,,24237000000.0
2014-06-01,Food manufacturing,,7596000000.0
2014-06-01,Beverage and tobacco product manufacturing,,1091000000.0
2014-06-01,Textile mills,,118000000.0
2014-06-01,Textile product mills,,158000000.0
2014-06-01,Apparel manufacturing,,225000000.0
2014-06-01,Leather and allied product manufacturing,,37000000.0
2014-06-01,Paper manufacturing,,2151000000.0
2014-06-01,Printing and related support activities,,750000000.0
2014-06-01,Petroleum and coal products manufacturing,,5682000000.0
2014-06-01,Chemical manufacturing,,4096000000.0
2014-06-01,Plastics and rubber products manufacturing,,2334000000.0
2014-06-01,Durable goods,,27895000000.0
2014-06-01,Wood product manufacturing,,2413000000.0
2014-06-01,Non-metallic mineral product manufacturing,,1106000000.0
2014-06-01,Primary metal manufacturing,,4046000000.0
2014-06-01,Fabricated metal product manufacturing,,3117000000.0
2014-06-01,Machinery manufacturing,,2935000000.0
2014-06-01,Computer and electronic product manufacturing,,1200000000.0
2014-06-01,"Electrical equipment, appliance and component manufacturing",,898000000.0
2014-06-01,Transportation equipment manufacturing,,10337000000.0
2014-06-01,Motor vehicle manufacturing,,5269000000.0
2014-06-01,Motor vehicle body and trailer manufacturing,,273000000.0
2014-06-01,Motor vehicle parts manufacturing,,2322000000.0
2014-06-01,Aerospace product and parts manufacturing,,1833000000.0
2014-06-01,Railroad rolling stock manufacturing,,104000000.0
2014-06-01,Ship and boat building,,158000000.0
2014-06-01,Other transportation equipment manufacturing,,377000000.0
2014-06-01,Furniture and related product manufacturing,,888000000.0
2014-06-01,Miscellaneous manufacturing,,955000000.0
2014-07-01,"Total, durable and non-durable goods",,53563000000.0
2014-07-01,Non-durable goods,,24333000000.0
2014-07-01,Food manufacturing,,7525000000.0
2014-07-01,Beverage and tobacco product manufacturing,,1108000000.0
2014-07-01,Textile mills,,127000000.0
2014-07-01,Textile product mills,,158000000.0
2014-07-01,Apparel manufacturing,,227000000.0
2014-07-01,Leather and allied product manufacturing,,37000000.0
2014-07-01,Paper manufacturing,,2166000000.0
2014-07-01,Printing and related support activities,,765000000.0
2014-07-01,Petroleum and coal products manufacturing,,5740000000.0
2014-07-01,Chemical manufacturing,,4115000000.0
2014-07-01,Plastics and rubber products manufacturing,,2364000000.0
2014-07-01,Durable goods,,29231000000.0
2014-07-01,Wood product manufacturing,,2469000000.0
2014-07-01,Non-metallic mineral product manufacturing,,1153000000.0
2014-07-01,Primary metal manufacturing,,4168000000.0
2014-07-01,Fabricated metal product manufacturing,,3137000000.0
2014-07-01,Machinery manufacturing,,2982000000.0
2014-07-01,Computer and electronic product manufacturing,,1267000000.0
2014-07-01,"Electrical equipment, appliance and component manufacturing",,923000000.0
2014-07-01,Transportation equipment manufacturing,,11352000000.0
2014-07-01,Motor vehicle manufacturing,,5888000000.0
2014-07-01,Motor vehicle body and trailer manufacturing,,289000000.0
2014-07-01,Motor vehicle parts manufacturing,,2470000000.0
2014-07-01,Aerospace product and parts manufacturing,,2016000000.0
2014-07-01,Railroad rolling stock manufacturing,,112000000.0
2014-07-01,Ship and boat building,,158000000.0
2014-07-01,Other transportation equipment manufacturing,,418000000.0
2014-07-01,Furniture and related product manufacturing,,888000000.0
2014-07-01,Miscellaneous manufacturing,,892000000.0
2014-08-01,"Total, durable and non-durable goods",,51637000000.0
2014-08-01,Non-durable goods,,24052000000.0
2014-08-01,Food manufacturing,,7591000000.0
2014-08-01,Beverage and tobacco product manufacturing,,1040000000.0
2014-08-01,Textile mills,,125000000.0
2014-08-01,Textile product mills,,159000000.0
2014-08-01,Apparel manufacturing,,213000000.0
2014-08-01,Leather and allied product manufacturing,,34000000.0
2014-08-01,Paper manufacturing,,2127000000.0
2014-08-01,Printing and related support activities,,741000000.0
2014-08-01,Petroleum and coal products manufacturing,,5529000000.0
2014-08-01,Chemical manufacturing,,4170000000.0
2014-08-01,Plastics and rubber products manufacturing,,2323000000.0
2014-08-01,Durable goods,,27585000000.0
2014-08-01,Wood product manufacturing,,2395000000.0
2014-08-01,Non-metallic mineral product manufacturing,,1144000000.0
2014-08-01,Primary metal manufacturing,,4110000000.0
2014-08-01,Fabricated metal product manufacturing,,3154000000.0
2014-08-01,Machinery manufacturing,,2935000000.0
2014-08-01,Computer and electronic product manufacturing,,1207000000.0
2014-08-01,"Electrical equipment, appliance and component manufacturing",,917000000.0
2014-08-01,Transportation equipment manufacturing,,9886000000.0
2014-08-01,Motor vehicle manufacturing,,5008000000.0
2014-08-01,Motor vehicle body and trailer manufacturing,,281000000.0
2014-08-01,Motor vehicle parts manufacturing,,2193000000.0
2014-08-01,Aerospace product and parts manufacturing,,1864000000.0
2014-08-01,Railroad rolling stock manufacturing,,93000000.0
2014-08-01,Ship and boat building,,156000000.0
2014-08-01,Other transportation equipment manufacturing,,291000000.0
2014-08-01,Furniture and related product manufacturing,,891000000.0
2014-08-01,Miscellaneous manufacturing,,945000000.0
2014-09-01,"Total, durable and non-durable goods",,52918000000.0
2014-09-01,Non-durable goods,,23926000000.0
2014-09-01,Food manufacturing,,7642000000.0
2014-09-01,Beverage and tobacco product manufacturing,,1036000000.0
2014-09-01,Textile mills,,124000000.0
2014-09-01,Textile product mills,,157000000.0
2014-09-01,Apparel manufacturing,,226000000.0
2014-09-01,Leather and allied product manufacturing,,39000000.0
2014-09-01,Paper manufacturing,,2192000000.0
2014-09-01,Printing and related support activities,,736000000.0
2014-09-01,Petroleum and coal products manufacturing,,5287000000.0
2014-09-01,Chemical manufacturing,,4104000000.0
2014-09-01,Plastics and rubber products manufacturing,,2384000000.0
2014-09-01,Durable goods,,28991000000.0
2014-09-01,Wood product manufacturing,,2477000000.0
2014-09-01,Non-metallic mineral product manufacturing,,1150000000.0
2014-09-01,Primary metal manufacturing,,4279000000.0
2014-09-01,Fabricated metal product manufacturing,,3131000000.0
2014-09-01,Machinery manufacturing,,3009000000.0
2014-09-01,Computer and electronic product manufacturing,,1180000000.0
2014-09-01,"Electrical equipment, appliance and component manufacturing",,904000000.0
2014-09-01,Transportation equipment manufacturing,,10953000000.0
2014-09-01,Motor vehicle manufacturing,,5608000000.0
2014-09-01,Motor vehicle body and trailer manufacturing,,290000000.0
2014-09-01,Motor vehicle parts manufacturing,,2355000000.0
2014-09-01,Aerospace product and parts manufacturing,,2047000000.0
2014-09-01,Railroad rolling stock manufacturing,,85000000.0
2014-09-01,Ship and boat building,,154000000.0
2014-09-01,Other transportation equipment manufacturing,,414000000.0
2014-09-01,Furniture and related product manufacturing,,907000000.0
2014-09-01,Miscellaneous manufacturing,,1004000000.0
2014-10-01,"Total, durable and non-durable goods",,52867000000.0
2014-10-01,Non-durable goods,,24155000000.0
2014-10-01,Food manufacturing,,7685000000.0
2014-10-01,Beverage and tobacco product manufacturing,,1072000000.0
2014-10-01,Textile mills,,129000000.0
2014-10-01,Textile product mills,,162000000.0
2014-10-01,Apparel manufacturing,,206000000.0
2014-10-01,Leather and allied product manufacturing,,42000000.0
2014-10-01,Paper manufacturing,,2217000000.0
2014-10-01,Printing and related support activities,,752000000.0
2014-10-01,Petroleum and coal products manufacturing,,5437000000.0
2014-10-01,Chemical manufacturing,,4081000000.0
2014-10-01,Plastics and rubber products manufacturing,,2370000000.0
2014-10-01,Durable goods,,28712000000.0
2014-10-01,Wood product manufacturing,,2500000000.0
2014-10-01,Non-metallic mineral product manufacturing,,1153000000.0
2014-10-01,Primary metal manufacturing,,4081000000.0
2014-10-01,Fabricated metal product manufacturing,,3096000000.0
2014-10-01,Machinery manufacturing,,3075000000.0
2014-10-01,Computer and electronic product manufacturing,,1209000000.0
2014-10-01,"Electrical equipment, appliance and component manufacturing",,906000000.0
2014-10-01,Transportation equipment manufacturing,,10750000000.0
2014-10-01,Motor vehicle manufacturing,,5629000000.0
2014-10-01,Motor vehicle body and trailer manufacturing,,314000000.0
2014-10-01,Motor vehicle parts manufacturing,,2361000000.0
2014-10-01,Aerospace product and parts manufacturing,,1858000000.0
2014-10-01,Railroad rolling stock manufacturing,,82000000.0
2014-10-01,Ship and boat building,,153000000.0
2014-10-01,Other transportation equipment manufacturing,,354000000.0
2014-10-01,Furniture and related product manufacturing,,918000000.0
2014-10-01,Miscellaneous manufacturing,,1024000000.0
2014-11-01,"Total, durable and non-durable goods",,51752000000.0
2014-11-01,Non-durable goods,,23717000000.0
2014-11-01,Food manufacturing,,7547000000.0
2014-11-01,Beverage and tobacco product manufacturing,,1062000000.0
2014-11-01,Textile mills,,127000000.0
2014-11-01,Textile product mills,,152000000.0
2014-11-01,Apparel manufacturing,,210000000.0
2014-11-01,Leather and allied product manufacturing,,40000000.0
2014-11-01,Paper manufacturing,,2192000000.0
2014-11-01,Printing and related support activities,,741000000.0
2014-11-01,Petroleum and coal products manufacturing,,5306000000.0
2014-11-01,Chemical manufacturing,,4004000000.0
2014-11-01,Plastics and rubber products manufacturing,,2335000000.0
2014-11-01,Durable goods,,28034000000.0
2014-11-01,Wood product manufacturing,,2408000000.0
2014-11-01,Non-metallic mineral product manufacturing,,1075000000.0
2014-11-01,Primary metal manufacturing,,3951000000.0
2014-11-01,Fabricated metal product manufacturing,,3091000000.0
2014-11-01,Machinery manufacturing,,3014000000.0
2014-11-01,Computer and electronic product manufacturing,,1197000000.0
2014-11-01,"Electrical equipment, appliance and component manufacturing",,855000000.0
2014-11-01,Transportation equipment manufacturing,,10531000000.0
2014-11-01,Motor vehicle manufacturing,,5351000000.0
2014-11-01,Motor vehicle body and trailer manufacturing,,303000000.0
2014-11-01,Motor vehicle parts manufacturing,,2338000000.0
2014-11-01,Aerospace product and parts manufacturing,,1858000000.0
2014-11-01,Railroad rolling stock manufacturing,,144000000.0
2014-11-01,Ship and boat building,,169000000.0
2014-11-01,Other transportation equipment manufacturing,,367000000.0
2014-11-01,Furniture and related product manufacturing,,869000000.0
2014-11-01,Miscellaneous manufacturing,,1043000000.0
2014-12-01,"Total, durable and non-durable goods",,53146000000.0
2014-12-01,Non-durable goods,,23999000000.0
2014-12-01,Food manufacturing,,7635000000.0
2014-12-01,Beverage and tobacco product manufacturing,,1067000000.0
2014-12-01,Textile mills,,131000000.0
2014-12-01,Textile product mills,,167000000.0
2014-12-01,Apparel manufacturing,,221000000.0
2014-12-01,Leather and allied product manufacturing,,42000000.0
2014-12-01,Paper manufacturing,,2234000000.0
2014-12-01,Printing and related support activities,,735000000.0
2014-12-01,Petroleum and coal products manufacturing,,5180000000.0
2014-12-01,Chemical manufacturing,,4180000000.0
2014-12-01,Plastics and rubber products manufacturing,,2406000000.0
2014-12-01,Durable goods,,29147000000.0
2014-12-01,Wood product manufacturing,,2483000000.0
2014-12-01,Non-metallic mineral product manufacturing,,1121000000.0
2014-12-01,Primary metal manufacturing,,4208000000.0
2014-12-01,Fabricated metal product manufacturing,,3020000000.0
2014-12-01,Machinery manufacturing,,3264000000.0
2014-12-01,Computer and electronic product manufacturing,,1244000000.0
2014-12-01,"Electrical equipment, appliance and component manufacturing",,864000000.0
2014-12-01,Transportation equipment manufacturing,,11107000000.0
2014-12-01,Motor vehicle manufacturing,,5816000000.0
2014-12-01,Motor vehicle body and trailer manufacturing,,305000000.0
2014-12-01,Motor vehicle parts manufacturing,,2442000000.0
2014-12-01,Aerospace product and parts manufacturing,,1911000000.0
2014-12-01,Railroad rolling stock manufacturing,,108000000.0
2014-12-01,Ship and boat building,,165000000.0
2014-12-01,Other transportation equipment manufacturing,,360000000.0
2014-12-01,Furniture and related product manufacturing,,888000000.0
2014-12-01,Miscellaneous manufacturing,,948000000.0
2015-01-01,"Total, durable and non-durable goods",,51670000000.0
2015-01-01,Non-durable goods,,23783000000.0
2015-01-01,Food manufacturing,,7581000000.0
2015-01-01,Beverage and tobacco product manufacturing,,1085000000.0
2015-01-01,Textile mills,,127000000.0
2015-01-01,Textile product mills,,146000000.0
2015-01-01,Apparel manufacturing,,213000000.0
2015-01-01,Leather and allied product manufacturing,,32000000.0
2015-01-01,Paper manufacturing,,2228000000.0
2015-01-01,Printing and related support activities,,745000000.0
2015-01-01,Petroleum and coal products manufacturing,,5079000000.0
2015-01-01,Chemical manufacturing,,4193000000.0
2015-01-01,Plastics and rubber products manufacturing,,2355000000.0
2015-01-01,Durable goods,,27886000000.0
2015-01-01,Wood product manufacturing,,2432000000.0
2015-01-01,Non-metallic mineral product manufacturing,,1118000000.0
2015-01-01,Primary metal manufacturing,,3818000000.0
2015-01-01,Fabricated metal product manufacturing,,3024000000.0
2015-01-01,Machinery manufacturing,,3109000000.0
2015-01-01,Computer and electronic product manufacturing,,1244000000.0
2015-01-01,"Electrical equipment, appliance and component manufacturing",,834000000.0
2015-01-01,Transportation equipment manufacturing,,10390000000.0
2015-01-01,Motor vehicle manufacturing,,5088000000.0
2015-01-01,Motor vehicle body and trailer manufacturing,,321000000.0
2015-01-01,Motor vehicle parts manufacturing,,2395000000.0
2015-01-01,Aerospace product and parts manufacturing,,1843000000.0
2015-01-01,Railroad rolling stock manufacturing,,144000000.0
2015-01-01,Ship and boat building,,155000000.0
2015-01-01,Other transportation equipment manufacturing,,443000000.0
2015-01-01,Furniture and related product manufacturing,,886000000.0
2015-01-01,Miscellaneous manufacturing,,1033000000.0
2015-02-01,"Total, durable and non-durable goods",,50389000000.0
2015-02-01,Non-durable goods,,23848000000.0
2015-02-01,Food manufacturing,,7620000000.0
2015-02-01,Beverage and tobacco product manufacturing,,1070000000.0
2015-02-01,Textile mills,,135000000.0
2015-02-01,Textile product mills,,143000000.0
2015-02-01,Apparel manufacturing,,210000000.0
2015-02-01,Leather and allied product manufacturing,,37000000.0
2015-02-01,Paper manufacturing,,2244000000.0
2015-02-01,Printing and related support activities,,748000000.0
2015-02-01,Petroleum and coal products manufacturing,,5083000000.0
2015-02-01,Chemical manufacturing,,4215000000.0
2015-02-01,Plastics and rubber products manufacturing,,2342000000.0
2015-02-01,Durable goods,,26541000000.0
2015-02-01,Wood product manufacturing,,2459000000.0
2015-02-01,Non-metallic mineral product manufacturing,,1064000000.0
2015-02-01,Primary metal manufacturing,,3873000000.0
2015-02-01,Fabricated metal product manufacturing,,3048000000.0
2015-02-01,Machinery manufacturing,,2991000000.0
2015-02-01,Computer and electronic product manufacturing,,1233000000.0
2015-02-01,"Electrical equipment, appliance and component manufacturing",,851000000.0
2015-02-01,Transportation equipment manufacturing,,9032000000.0
2015-02-01,Motor vehicle manufacturing,,4559000000.0
2015-02-01,Motor vehicle body and trailer manufacturing,,322000000.0
2015-02-01,Motor vehicle parts manufacturing,,2273000000.0
2015-02-01,Aerospace product and parts manufacturing,,1229000000.0
2015-02-01,Railroad rolling stock manufacturing,,157000000.0
2015-02-01,Ship and boat building,,155000000.0
2015-02-01,Other transportation equipment manufacturing,,337000000.0
2015-02-01,Furniture and related product manufacturing,,914000000.0
2015-02-01,Miscellaneous manufacturing,,1076000000.0
2015-03-01,"Total, durable and non-durable goods",,52219000000.0
2015-03-01,Non-durable goods,,24418000000.0
2015-03-01,Food manufacturing,,7909000000.0
2015-03-01,Beverage and tobacco product manufacturing,,1091000000.0
2015-03-01,Textile mills,,131000000.0
2015-03-01,Textile product mills,,139000000.0
2015-03-01,Apparel manufacturing,,193000000.0
2015-03-01,Leather and allied product manufacturing,,36000000.0
2015-03-01,Paper manufacturing,,2257000000.0
2015-03-01,Printing and related support activities,,742000000.0
2015-03-01,Petroleum and coal products manufacturing,,5308000000.0
2015-03-01,Chemical manufacturing,,4289000000.0
2015-03-01,Plastics and rubber products manufacturing,,2322000000.0
2015-03-01,Durable goods,,27801000000.0
2015-03-01,Wood product manufacturing,,2416000000.0
2015-03-01,Non-metallic mineral product manufacturing,,1089000000.0
2015-03-01,Primary metal manufacturing,,4007000000.0
2015-03-01,Fabricated metal product manufacturing,,2948000000.0
2015-03-01,Machinery manufacturing,,3021000000.0
2015-03-01,Computer and electronic product manufacturing,,1248000000.0
2015-03-01,"Electrical equipment, appliance and component manufacturing",,867000000.0
2015-03-01,Transportation equipment manufacturing,,10206000000.0
2015-03-01,Motor vehicle manufacturing,,5115000000.0
2015-03-01,Motor vehicle body and trailer manufacturing,,266000000.0
2015-03-01,Motor vehicle parts manufacturing,,2350000000.0
2015-03-01,Aerospace product and parts manufacturing,,1811000000.0
2015-03-01,Railroad rolling stock manufacturing,,133000000.0
2015-03-01,Ship and boat building,,181000000.0
2015-03-01,Other transportation equipment manufacturing,,350000000.0
2015-03-01,Furniture and related product manufacturing,,902000000.0
2015-03-01,Miscellaneous manufacturing,,1097000000.0
2015-04-01,"Total, durable and non-durable goods",,51428000000.0
2015-04-01,Non-durable goods,,24110000000.0
2015-04-01,Food manufacturing,,7567000000.0
2015-04-01,Beverage and tobacco product manufacturing,,1114000000.0
2015-04-01,Textile mills,,131000000.0
2015-04-01,Textile product mills,,153000000.0
2015-04-01,Apparel manufacturing,,206000000.0
2015-04-01,Leather and allied product manufacturing,,37000000.0
2015-04-01,Paper manufacturing,,2282000000.0
2015-04-01,Printing and related support activities,,751000000.0
2015-04-01,Petroleum and coal products manufacturing,,5206000000.0
2015-04-01,Chemical manufacturing,,4266000000.0
2015-04-01,Plastics and rubber products manufacturing,,2398000000.0
2015-04-01,Durable goods,,27318000000.0
2015-04-01,Wood product manufacturing,,2445000000.0
2015-04-01,Non-metallic mineral product manufacturing,,1080000000.0
2015-04-01,Primary metal manufacturing,,3880000000.0
2015-04-01,Fabricated metal product manufacturing,,2998000000.0
2015-04-01,Machinery manufacturing,,2953000000.0
2015-04-01,Computer and electronic product manufacturing,,1258000000.0
2015-04-01,"Electrical equipment, appliance and component manufacturing",,891000000.0
2015-04-01,Transportation equipment manufacturing,,9843000000.0
2015-04-01,Motor vehicle manufacturing,,4836000000.0
2015-04-01,Motor vehicle body and trailer manufacturing,,273000000.0
2015-04-01,Motor vehicle parts manufacturing,,2467000000.0
2015-04-01,Aerospace product and parts manufacturing,,1608000000.0
2015-04-01,Railroad rolling stock manufacturing,,141000000.0
2015-04-01,Ship and boat building,,147000000.0
2015-04-01,Other transportation equipment manufacturing,,370000000.0
2015-04-01,Furniture and related product manufacturing,,912000000.0
2015-04-01,Miscellaneous manufacturing,,1058000000.0
2015-05-01,"Total, durable and non-durable goods",,51644000000.0
2015-05-01,Non-durable goods,,23929000000.0
2015-05-01,Food manufacturing,,7479000000.0
2015-05-01,Beverage and tobacco product manufacturing,,1112000000.0
2015-05-01,Textile mills,,132000000.0
2015-05-01,Textile product mills,,138000000.0
2015-05-01,Apparel manufacturing,,195000000.0
2015-05-01,Leather and allied product manufacturing,,38000000.0
2015-05-01,Paper manufacturing,,2283000000.0
2015-05-01,Printing and related support activities,,728000000.0
2015-05-01,Petroleum and coal products manufacturing,,5323000000.0
2015-05-01,Chemical manufacturing,,4121000000.0
2015-05-01,Plastics and rubber products manufacturing,,2380000000.0
2015-05-01,Durable goods,,27714000000.0
2015-05-01,Wood product manufacturing,,2423000000.0
2015-05-01,Non-metallic mineral product manufacturing,,1105000000.0
2015-05-01,Primary metal manufacturing,,3905000000.0
2015-05-01,Fabricated metal product manufacturing,,3088000000.0
2015-05-01,Machinery manufacturing,,2901000000.0
2015-05-01,Computer and electronic product manufacturing,,1240000000.0
2015-05-01,"Electrical equipment, appliance and component manufacturing",,851000000.0
2015-05-01,Transportation equipment manufacturing,,10277000000.0
2015-05-01,Motor vehicle manufacturing,,4978000000.0
2015-05-01,Motor vehicle body and trailer manufacturing,,293000000.0
2015-05-01,Motor vehicle parts manufacturing,,2456000000.0
2015-05-01,Aerospace product and parts manufacturing,,1947000000.0
2015-05-01,Railroad rolling stock manufacturing,,136000000.0
2015-05-01,Ship and boat building,,156000000.0
2015-05-01,Other transportation equipment manufacturing,,312000000.0
2015-05-01,Furniture and related product manufacturing,,886000000.0
2015-05-01,Miscellaneous manufacturing,,1037000000.0
2015-06-01,"Total, durable and non-durable goods",,52129000000.0
2015-06-01,Non-durable goods,,24122000000.0
2015-06-01,Food manufacturing,,7651000000.0
2015-06-01,Beverage and tobacco product manufacturing,,1099000000.0
2015-06-01,Textile mills,,137000000.0
2015-06-01,Textile product mills,,139000000.0
2015-06-01,Apparel manufacturing,,227000000.0
2015-06-01,Leather and allied product manufacturing,,40000000.0
2015-06-01,Paper manufacturing,,2326000000.0
2015-06-01,Printing and related support activities,,758000000.0
2015-06-01,Petroleum and coal products manufacturing,,5241000000.0
2015-06-01,Chemical manufacturing,,4169000000.0
2015-06-01,Plastics and rubber products manufacturing,,2334000000.0
2015-06-01,Durable goods,,28007000000.0
2015-06-01,Wood product manufacturing,,2423000000.0
2015-06-01,Non-metallic mineral product manufacturing,,1128000000.0
2015-06-01,Primary metal manufacturing,,4017000000.0
2015-06-01,Fabricated metal product manufacturing,,2964000000.0
2015-06-01,Machinery manufacturing,,2850000000.0
2015-06-01,Computer and electronic product manufacturing,,1210000000.0
2015-06-01,"Electrical equipment, appliance and component manufacturing",,893000000.0
2015-06-01,Transportation equipment manufacturing,,10577000000.0
2015-06-01,Motor vehicle manufacturing,,5244000000.0
2015-06-01,Motor vehicle body and trailer manufacturing,,274000000.0
2015-06-01,Motor vehicle parts manufacturing,,2386000000.0
2015-06-01,Aerospace product and parts manufacturing,,2003000000.0
2015-06-01,Railroad rolling stock manufacturing,,145000000.0
2015-06-01,Ship and boat building,,162000000.0
2015-06-01,Other transportation equipment manufacturing,,362000000.0
2015-06-01,Furniture and related product manufacturing,,894000000.0
2015-06-01,Miscellaneous manufacturing,,1052000000.0
2015-07-01,"Total, durable and non-durable goods",,52547000000.0
2015-07-01,Non-durable goods,,24205000000.0
2015-07-01,Food manufacturing,,7753000000.0
2015-07-01,Beverage and tobacco product manufacturing,,1099000000.0
2015-07-01,Textile mills,,138000000.0
2015-07-01,Textile product mills,,149000000.0
2015-07-01,Apparel manufacturing,,208000000.0
2015-07-01,Leather and allied product manufacturing,,47000000.0
2015-07-01,Paper manufacturing,,2348000000.0
2015-07-01,Printing and related support activities,,755000000.0
2015-07-01,Petroleum and coal products manufacturing,,5224000000.0
2015-07-01,Chemical manufacturing,,4090000000.0
2015-07-01,Plastics and rubber products manufacturing,,2394000000.0
2015-07-01,Durable goods,,28341000000.0
2015-07-01,Wood product manufacturing,,2385000000.0
2015-07-01,Non-metallic mineral product manufacturing,,1104000000.0
2015-07-01,Primary metal manufacturing,,3853000000.0
2015-07-01,Fabricated metal product manufacturing,,2974000000.0
2015-07-01,Machinery manufacturing,,2851000000.0
2015-07-01,Computer and electronic product manufacturing,,1179000000.0
2015-07-01,"Electrical equipment, appliance and component manufacturing",,898000000.0
2015-07-01,Transportation equipment manufacturing,,11010000000.0
2015-07-01,Motor vehicle manufacturing,,5402000000.0
2015-07-01,Motor vehicle body and trailer manufacturing,,271000000.0
2015-07-01,Motor vehicle parts manufacturing,,2730000000.0
2015-07-01,Aerospace product and parts manufacturing,,1920000000.0
2015-07-01,Railroad rolling stock manufacturing,,155000000.0
2015-07-01,Ship and boat building,,163000000.0
2015-07-01,Other transportation equipment manufacturing,,369000000.0
2015-07-01,Furniture and related product manufacturing,,934000000.0
2015-07-01,Miscellaneous manufacturing,,1153000000.0
2015-08-01,"Total, durable and non-durable goods",,52263000000.0
2015-08-01,Non-durable goods,,24148000000.0
2015-08-01,Food manufacturing,,7745000000.0
2015-08-01,Beverage and tobacco product manufacturing,,1066000000.0
2015-08-01,Textile mills,,143000000.0
2015-08-01,Textile product mills,,141000000.0
2015-08-01,Apparel manufacturing,,201000000.0
2015-08-01,Leather and allied product manufacturing,,41000000.0
2015-08-01,Paper manufacturing,,2307000000.0
2015-08-01,Printing and related support activities,,755000000.0
2015-08-01,Petroleum and coal products manufacturing,,5087000000.0
2015-08-01,Chemical manufacturing,,4238000000.0
2015-08-01,Plastics and rubber products manufacturing,,2421000000.0
2015-08-01,Durable goods,,28115000000.0
2015-08-01,Wood product manufacturing,,2496000000.0
2015-08-01,Non-metallic mineral product manufacturing,,1108000000.0
2015-08-01,Primary metal manufacturing,,3650000000.0
2015-08-01,Fabricated metal product manufacturing,,2999000000.0
2015-08-01,Machinery manufacturing,,2717000000.0
2015-08-01,Computer and electronic product manufacturing,,1189000000.0
2015-08-01,"Electrical equipment, appliance and component manufacturing",,906000000.0
2015-08-01,Transportation equipment manufacturing,,10984000000.0
2015-08-01,Motor vehicle manufacturing,,5718000000.0
2015-08-01,Motor vehicle body and trailer manufacturing,,288000000.0
2015-08-01,Motor vehicle parts manufacturing,,2540000000.0
2015-08-01,Aerospace product and parts manufacturing,,1785000000.0
2015-08-01,Railroad rolling stock manufacturing,,154000000.0
2015-08-01,Ship and boat building,,162000000.0
2015-08-01,Other transportation equipment manufacturing,,338000000.0
2015-08-01,Furniture and related product manufacturing,,931000000.0
2015-08-01,Miscellaneous manufacturing,,1135000000.0
2015-09-01,"Total, durable and non-durable goods",,51612000000.0
2015-09-01,Non-durable goods,,23862000000.0
2015-09-01,Food manufacturing,,7768000000.0
2015-09-01,Beverage and tobacco product manufacturing,,1093000000.0
2015-09-01,Textile mills,,142000000.0
2015-09-01,Textile product mills,,146000000.0
2015-09-01,Apparel manufacturing,,193000000.0
2015-09-01,Leather and allied product manufacturing,,38000000.0
2015-09-01,Paper manufacturing,,2272000000.0
2015-09-01,Printing and related support activities,,755000000.0
2015-09-01,Petroleum and coal products manufacturing,,4843000000.0
2015-09-01,Chemical manufacturing,,4192000000.0
2015-09-01,Plastics and rubber products manufacturing,,2420000000.0
2015-09-01,Durable goods,,27749000000.0
2015-09-01,Wood product manufacturing,,2542000000.0
2015-09-01,Non-metallic mineral product manufacturing,,1094000000.0
2015-09-01,Primary metal manufacturing,,3945000000.0
2015-09-01,Fabricated metal product manufacturing,,2978000000.0
2015-09-01,Machinery manufacturing,,2804000000.0
2015-09-01,Computer and electronic product manufacturing,,1170000000.0
2015-09-01,"Electrical equipment, appliance and component manufacturing",,861000000.0
2015-09-01,Transportation equipment manufacturing,,10317000000.0
2015-09-01,Motor vehicle manufacturing,,5204000000.0
2015-09-01,Motor vehicle body and trailer manufacturing,,265000000.0
2015-09-01,Motor vehicle parts manufacturing,,2528000000.0
2015-09-01,Aerospace product and parts manufacturing,,1683000000.0
2015-09-01,Railroad rolling stock manufacturing,,163000000.0
2015-09-01,Ship and boat building,,172000000.0
2015-09-01,Other transportation equipment manufacturing,,301000000.0
2015-09-01,Furniture and related product manufacturing,,930000000.0
2015-09-01,Miscellaneous manufacturing,,1109000000.0
2015-10-01,"Total, durable and non-durable goods",,51271000000.0
2015-10-01,Non-durable goods,,23451000000.0
2015-10-01,Food manufacturing,,7673000000.0
2015-10-01,Beverage and tobacco product manufacturing,,1089000000.0
2015-10-01,Textile mills,,133000000.0
2015-10-01,Textile product mills,,145000000.0
2015-10-01,Apparel manufacturing,,188000000.0
2015-10-01,Leather and allied product manufacturing,,39000000.0
2015-10-01,Paper manufacturing,,2291000000.0
2015-10-01,Printing and related support activities,,771000000.0
2015-10-01,Petroleum and coal products manufacturing,,4587000000.0
2015-10-01,Chemical manufacturing,,4122000000.0
2015-10-01,Plastics and rubber products manufacturing,,2412000000.0
2015-10-01,Durable goods,,27821000000.0
2015-10-01,Wood product manufacturing,,2564000000.0
2015-10-01,Non-metallic mineral product manufacturing,,1090000000.0
2015-10-01,Primary metal manufacturing,,3916000000.0
2015-10-01,Fabricated metal product manufacturing,,2975000000.0
2015-10-01,Machinery manufacturing,,2749000000.0
2015-10-01,Computer and electronic product manufacturing,,1161000000.0
2015-10-01,"Electrical equipment, appliance and component manufacturing",,876000000.0
2015-10-01,Transportation equipment manufacturing,,10560000000.0
2015-10-01,Motor vehicle manufacturing,,5387000000.0
2015-10-01,Motor vehicle body and trailer manufacturing,,251000000.0
2015-10-01,Motor vehicle parts manufacturing,,2616000000.0
