REFERENCE_PERIOD,NAICS,STATUS,CALCULATED_VALUE
2002-12-01,Machinery manufacturing,,2588000000.0
2002-12-01,Computer and electronic product manufacturing,,1670000000.0
2002-12-01,"Electrical equipment, appliance and component manufacturing",,1007000000.0
2002-12-01,Transportation equipment manufacturing,,8836000000.0
2002-12-01,Motor vehicle manufacturing,,4301000000.0
2002-12-01,Motor vehicle body and trailer manufacturing,,338000000.0
2002-12-01,Motor vehicle parts manufacturing,,2380000000.0
2002-12-01,Aerospace product and parts manufacturing,,1135000000.0
2002-12-01,Railroad rolling stock manufacturing,,344000000.0
2002-12-01,Ship and boat building,,176000000.0
2002-12-01,Other transportation equipment manufacturing,,161000000.0
2002-12-01,Furniture and related product manufacturing,,1381000000.0
2002-12-01,Miscellaneous manufacturing,,1101000000.0
2003-01-01,"Total, durable and non-durable goods",,57069000000.0
2003-01-01,Non-durable goods,,27754000000.0
2003-01-01,Food manufacturing,,6778000000.0
2003-01-01,Beverage and tobacco product manufacturing,,1507000000.0
2003-01-01,Textile mills,,325000000.0
2003-01-01,Textile product mills,,263000000.0
2003-01-01,Apparel manufacturing,,658000000.0
2003-01-01,Leather and allied product manufacturing,,81000000.0
2003-01-01,Paper manufacturing,,3289000000.0
2003-01-01,Printing and related support activities,,1064000000.0
2003-01-01,Petroleum and coal products manufacturing,,5778000000.0
2003-01-01,Chemical manufacturing,,5118000000.0
2003-01-01,Plastics and rubber products manufacturing,,2894000000.0
2003-01-01,Durable goods,,29315000000.0
2003-01-01,Wood product manufacturing,,2950000000.0
2003-01-01,Non-metallic mineral product manufacturing,,1222000000.0
2003-01-01,Primary metal manufacturing,,4887000000.0
2003-01-01,Fabricated metal product manufacturing,,3436000000.0
2003-01-01,Machinery manufacturing,,2458000000.0
2003-01-01,Computer and electronic product manufacturing,,1519000000.0
2003-01-01,"Electrical equipment, appliance and component manufacturing",,1024000000.0
2003-01-01,Transportation equipment manufacturing,,9615000000.0
2003-01-01,Motor vehicle manufacturing,,4997000000.0
2003-01-01,Motor vehicle body and trailer manufacturing,,309000000.0
2003-01-01,Motor vehicle parts manufacturing,,2678000000.0
2003-01-01,Aerospace product and parts manufacturing,,826000000.0
2003-01-01,Railroad rolling stock manufacturing,,515000000.0
2003-01-01,Ship and boat building,,156000000.0
2003-01-01,Other transportation equipment manufacturing,,134000000.0
2003-01-01,Furniture and related product manufacturing,,1294000000.0
2003-01-01,Miscellaneous manufacturing,,910000000.0
2003-02-01,"Total, durable and non-durable goods",,57245000000.0
2003-02-01,Non-durable goods,,27606000000.0
2003-02-01,Food manufacturing,,6945000000.0
2003-02-01,Beverage and tobacco product manufacturing,,1493000000.0
2003-02-01,Textile mills,,328000000.0
2003-02-01,Textile product mills,,286000000.0
2003-02-01,Apparel manufacturing,,655000000.0
