REFERENCE_PERIOD,NAICS,STATUS,SYMBOL,TERMINATED,DECIMALS,CALCULATED_VALUE
2002-08-01,Motor vehicle parts manufacturing,,,,0,2696000000.0
2002-08-01,Aerospace product and parts manufacturing,,,,0,1040000000.0
2002-08-01,Railroad rolling stock manufacturing,,,,0,432000000.0
2002-08-01,Ship and boat building,,,,0,138000000.0
2002-08-01,Other transportation equipment manufacturing,,,,0,116000000.0
2002-08-01,Furniture and related product manufacturing,,,,0,1442000000.0
2002-08-01,Miscellaneous manufacturing,,,,0,989000000.0
2002-09-01,"Total, durable and non-durable goods",,,,0,57317000000.0
2002-09-01,Non-durable goods,,,,0,27400000000.0
2002-09-01,Food manufacturing,,,,0,6788000000.0
2002-09-01,Beverage and tobacco product manufacturing,,,,0,1546000000.0
2002-09-01,Textile mills,,,,0,362000000.0
2002-09-01,Textile product mills,,,,0,293000000.0
2002-09-01,Apparel manufacturing,,,,0,720000000.0
2002-09-01,Leather and allied product manufacturing,,,,0,84000000.0
2002-09-01,Paper manufacturing,,,,0,3181000000.0
2002-09-01,Printing and related support activities,,,,0,1050000000.0
2002-09-01,Petroleum and coal products manufacturing,,,,0,5687000000.0
2002-09-01,Chemical manufacturing,,,,0,4992000000.0
2002-09-01,Plastics and rubber products manufacturing,,,,0,2697000000.0
2002-09-01,Durable goods,,,,0,29917000000.0
2002-09-01,Wood product manufacturing,,,,0,2997000000.0
2002-09-01,Non-metallic mineral product manufacturing,,,,0,1256000000.0
2002-09-01,Primary metal manufacturing,,,,0,4626000000.0
2002-09-01,Fabricated metal product manufacturing,,,,0,3515000000.0
2002-09-01,Machinery manufacturing,,,,0,2661000000.0
2002-09-01,Computer and electronic product manufacturing,,,,0,1707000000.0
2002-09-01,"Electrical equipment, appliance and component manufacturing",,,,0,1026000000.0
2002-09-01,Transportation equipment manufacturing,,,,0,9780000000.0
2002-09-01,Motor vehicle manufacturing,,,,0,4957000000.0
2002-09-01,Motor vehicle body and trailer manufacturing,,,,0,336000000.0
2002-09-01,Motor vehicle parts manufacturing,,,,0,2536000000.0
2002-09-01,Aerospace product and parts manufacturing,,,,0,1264000000.0
2002-09-01,Railroad rolling stock manufacturing,,,,0,394000000.0
2002-09-01,Ship and boat building,,,,0,178000000.0
2002-09-01,Other transportation equipment manufacturing,,,,0,115000000.0
2002-09-01,Furniture and related product manufacturing,,,,0,1338000000.0
2002-09-01,Miscellaneous manufacturing,,,,0,1010000000.0
2002-10-01,"Total, durable and non-durable goods",,,,0,57378000000.0
2002-10-01,Non-durable goods,,,,0,27558000000.0
2002-10-01,Food manufacturing,,,,0,6880000000.0
2002-10-01,Beverage and tobacco product manufacturing,,,,0,1460000000.0
2002-10-01,Textile mills,,,,0,353000000.0
2002-10-01,Textile product mills,,,,0,290000000.0
2002-10-01,Apparel manufacturing,,,,0,710000000.0
2002-10-01,Leather and allied product manufacturing,,,,0,78000000.0
2002-10-01,Paper manufacturing,,,,0,3158000000.0
2002-10-01,Printing and related support activities,,,,0,1076000000.0
2002-10-01,Petroleum and coal products manufacturing,,,,0,5775000000.0
